"loan_amnt","term","int_rate","installment","grade","home_ownershipMORTGAGE","home_ownershipOWN","home_ownershipRENT","annual_inc","verification_statusNot.Verified","verification_statusSource.Verified","verification_statusVerified","loan_status","purposecar","purposecredit_card","purposedebt_consolidation","purposehome_improvement","purposehouse","purposemajor_purchase","purposemedical","purposemoving","purposeother","purposerenewable_energy","purposesmall_business","purposevacation","dti","delinq_2yrs","fico_range_low","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","total_acc","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","application_type","acc_now_delinq","tot_coll_amt","mths_since_rcnt_il","avg_cur_bal","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_il_tl","num_rev_accts","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bc_limit","total_il_high_credit_limit","open_acc_6m","open_act_il","open_il_12m","open_il_24m","open_rv_24m","max_bal_bc","all_util","inq_fi","total_cu_tl","inq_last_12m","bc_util","num_tl_120dpd_2m","emp_length","il_util"
5000,36,7.91,156.48,1,0,1,0,60000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.1,0,690,0,0,0,5,0,9470,8,824,820,0,0,1,0,0,0,1894,0,0,0,106,30,30,0,94,0,0,0,0,2,0,8,0,0,100,0,0,14300,4700,0,0,0,0,0,0,2806,66,0,0,0,88.9,0,1,100
24000,60,13.99,558.32,1,0,0,1,52000,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,31.83,0,665,0,0,0,20,0,20748,32,724,720,0,0,0,0,0,9,2149,0,0,139,131,5,5,0,5,0,9,0,0,9,6,26,0,4,100,0,0,64761,24200,28661,1,3,2,3,4,4862,66,5,0,8,59.8,0,10,78
10000,36,9.76,321.55,0,1,0,0,128000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.35,0,780,0,0,0,9,0,9671,25,659,655,0,0,0,0,0,18,5478,0,0,112,89,3,3,8,3,0,14,0,0,2,6,10,0,1,100,0,0,78735,22500,49835,0,2,0,1,2,5385,61,0,0,0,2.3,0,10,80
11000,36,12.88,370,2,0,0,1,35000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.93,0,700,1,28,0,8,0,12236,14,529,525,0,0,1,0,0,4,1874,0,0,71,51,2,2,0,2,28,4,28,0,3,5,9,0,3,100,0,0,31200,14000,3000,2,1,1,1,3,4120,51,1,0,2,47.3,0,3,92
9200,36,13.67,312.97,2,0,0,1,20000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17.54,0,740,0,0,0,13,0,9735,17,794,790,0,0,1,0,0,0,749,0,0,0,66,4,4,0,4,0,9,0,0,6,0,17,0,3,100,0,0,57400,46500,0,2,0,0,0,7,3605,17,0,0,1,19.3,0,0,82
9600,36,11.22,315.3,0,0,0,1,76201,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.01,0,660,2,29,0,9,0,6639,23,549,545,0,29,0,0,0,10,3084,0,0,42,76,3,3,0,3,48,0,29,0,7,4,18,0,4,86.4,0,0,35769,15600,20169,3,2,1,1,6,1335,78,2,2,5,42.6,0,0,105
4000,36,8.38,126.05,0,1,0,0,60000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24.12,0,705,0,0,0,11,0,4997,23,614,610,1,0,0,0,1123,0,17859,0,0,124,66,18,7,1,18,0,18,0,0,3,17,5,0,1,100,0,0,234152,14000,79026,1,15,1,2,0,6894,82,0,0,0,32.3,0,8,78
4500,36,6.49,137.91,2,0,0,1,50000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20.96,0,760,0,0,0,13,0,6628,30,704,700,0,0,0,0,0,4,3761,0,0,128,128,19,4,1,19,0,0,0,0,4,20,9,0,1,100,0,0,85356,33000,48356,1,7,1,2,1,5296,57,0,4,0,20.1,0,0,87
5000,36,7.26,154.99,2,0,0,1,80000,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10.55,0,715,1,48,0,14,0,6043,32,654,650,0,0,0,0,0,33,823,0,0,141,163,2,2,0,7,0,2,0,0,1,8,24,0,2,96.8,0,0,38500,9400,12000,1,1,0,0,6,2941,26,0,5,3,31.3,0,10,32
20000,36,10.78,652.7,0,0,1,0,55000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,36.94,0,740,1,0,12,18,1,24365,32,804,800,0,0,0,0,0,2,3384,0,0,140,145,2,2,0,2,0,2,0,0,8,12,20,0,3,100,0,1,118711,46900,62011,3,3,1,1,5,6383,51,1,2,2,49.5,0,0,59
20000,60,12.59,450.88,1,0,0,1,70000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18.64,0,700,1,0,0,13,0,15342,31,684,680,0,0,0,0,0,26,2721,0,0,99,115,1,1,0,12,0,0,0,0,4,7,24,0,3,100,0,0,64858,14800,33658,2,2,0,0,4,7241,55,0,3,2,87,0,5,60
9000,36,9.76,289.4,0,1,0,0,54000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22.98,0,660,0,76,78,15,1,8581,44,579,575,0,76,0,0,429,6,12338,0,0,134,109,12,6,1,22,0,7,76,1,5,29,14,0,3,97.7,0,0,199516,9100,54491,1,2,2,4,2,2801,86,3,5,2,70.7,0,8,101
12000,36,6.49,367.74,1,0,0,1,54700,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16.45,0,725,0,0,0,7,0,8426,27,704,700,0,0,1,0,0,15,1555,0,0,121,426,4,4,4,4,0,14,0,0,3,8,14,0,1,100,0,0,34900,13400,16500,1,2,0,2,2,5130,31,0,0,0,61.1,0,10,15
24000,36,14.85,830.21,2,0,0,1,66000,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.02,0,675,3,0,0,10,0,15990,13,724,720,0,0,1,0,0,0,1599,0,0,0,175,2,2,0,2,0,1,0,0,5,0,13,0,2,92.3,0,0,59900,50800,0,2,0,0,0,4,8624,27,0,0,4,24.7,0,4,91
7200,36,11.48,237.36,0,0,0,1,22000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23.57,0,750,3,0,0,10,0,1335,10,649,645,0,0,0,0,0,29,1430,0,0,54,196,5,5,0,5,0,1,0,0,1,3,7,0,3,100,0,0,36131,7200,20631,2,3,0,0,6,1151,40,1,0,9,16,0,1,63
20000,36,5.32,602.3,1,1,0,0,125000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.42,0,790,0,0,0,10,0,8152,19,814,810,0,0,1,0,0,20,24915,0,0,57,258,7,7,3,48,0,7,0,0,3,3,12,0,1,100,0,0,330306,79000,19799,0,2,0,2,1,4991,15,0,0,1,10.2,0,0,38
8000,36,8.49,252.51,0,0,0,1,55000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.18,1,665,1,0,105,6,1,4193,13,499,0,0,21,0,0,269,7,6013,0,0,141,100,3,3,1,3,0,4,0,0,5,6,6,1,3,85,1,0,44291,10450,33841,1,1,1,1,3,2808,40,4,0,3,40,0,0,94
11000,60,9.17,229.26,0,1,0,0,50000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,33.01,0,705,0,77,0,22,0,20726,51,754,750,0,77,1,0,0,12,6977,0,0,160,266,11,11,4,11,80,3,77,2,6,8,39,0,4,92.2,0,0,226953,23400,39703,0,3,1,2,3,3697,51,4,2,3,48.2,0,10,70
12000,60,13.18,274.15,1,0,0,1,80000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.61,0,700,1,48,0,9,0,8917,15,809,805,0,48,0,0,0,7,1987,0,0,14,165,5,5,1,17,0,5,0,1,2,2,12,0,2,93.3,0,0,39499,26900,11099,1,2,1,2,3,6190,45,0,0,1,30.7,0,10,81
4350,36,15.77,152.44,3,0,0,1,42000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24.03,0,670,1,0,63,11,1,1287,30,604,600,0,58,1,0,0,9,3526,0,0,134,182,16,9,1,47,0,3,0,0,0,11,18,0,2,90,1,0,48540,0,37890,0,2,2,2,3,0,12,2,1,3,0,0,10,90
20000,36,11.48,659.33,0,1,0,0,70000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,24.04,1,675,2,9,0,21,0,33208,34,729,725,0,0,0,0,0,18,10082,0,0,153,160,2,2,1,27,0,2,9,0,13,7,26,0,1,97.1,0,0,282324,58400,89924,1,3,0,1,1,5543,62,0,0,2,52.4,0,9,100
1600,36,7.89,50.06,1,1,0,0,47000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12.31,0,730,0,0,97,19,1,602,56,719,715,0,0,1,0,0,5,7139,0,0,84,216,2,2,3,2,0,9,0,0,1,30,22,0,4,100,1,0,148435,18900,24411,2,2,2,5,5,378,38,0,8,1,2,0,0,74
5000,36,10.78,163.18,0,1,0,0,50000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.36,1,685,1,23,0,11,0,11409,26,639,635,0,23,0,0,0,21,28068,0,0,149,162,0,0,4,0,23,0,23,2,3,4,18,1,3,88,0,0,300287,17700,16947,3,1,0,1,5,9893,62,3,0,3,62.2,0,1,72
3200,36,9.76,102.9,0,0,0,1,113000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.17,0,705,0,76,0,10,0,2950,12,499,0,0,76,0,0,0,8,2749,0,0,107,92,14,8,0,14,76,11,76,1,4,4,8,0,1,91.7,0,0,74975,48000,26975,0,3,1,2,3,1419,37,0,0,1,6.1,0,9,91
2000,36,11.99,66.42,2,0,1,0,54000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14.84,0,660,0,69,0,6,0,1776,19,679,675,0,0,1,0,0,4,3455,0,0,76,110,10,4,0,10,0,0,0,0,2,15,4,0,3,94.7,0,0,27417,2000,22217,1,3,2,4,2,1470,76,3,0,7,88.8,0,9,85
1000,36,6.24,30.54,1,1,0,0,136000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16.78,0,730,0,0,0,18,0,23951,36,744,740,0,0,1,0,0,6,21302,0,0,156,386,1,1,4,36,0,0,0,0,3,15,17,0,3,100,0,0,461006,25100,72220,2,6,2,5,2,7976,55,0,8,0,55,0,10,60
1000,36,15.77,35.05,3,0,0,1,31999,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.83,1,670,0,13,0,7,0,7380,16,574,570,0,35,1,0,0,18,43706,0,0,133,130,16,16,3,16,0,17,0,2,3,8,5,0,0,75,0,0,336357,8000,17633,0,3,0,2,2,5104,67,0,0,0,92.2,0,0,56
6000,36,11.99,199.26,1,0,1,0,18000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23.53,0,665,0,0,0,7,0,5295,9,549,545,0,0,0,0,166,21,820,0,0,21,73,5,5,0,5,0,11,0,0,3,1,8,0,4,100,0,0,11430,4500,1330,1,1,0,1,5,2782,50,0,0,3,81.8,0,2,34
11000,36,8.49,347.2,0,1,0,0,40000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.32,0,670,0,0,79,9,1,12696,19,649,645,0,0,0,0,0,25,1763,0,0,107,211,13,13,3,21,0,7,0,0,4,4,11,0,0,100,1,0,33034,8600,10386,0,1,0,0,3,6424,48,1,0,2,91.5,0,5,31
13000,36,10.78,424.26,0,1,0,0,45000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,26.64,0,695,0,38,0,16,0,7198,23,704,700,0,0,1,0,296,2,2434,0,0,177,105,1,1,1,1,38,2,38,0,5,6,16,0,4,87,0,0,66830,13800,36830,4,2,1,2,4,2319,58,0,1,3,45.6,0,10,86
15000,60,9.17,312.62,0,0,1,0,42000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.03,0,770,0,0,0,13,0,6141,24,764,760,0,0,1,0,0,70,2368,0,0,119,121,33,33,0,33,0,0,0,0,5,11,13,0,0,100,0,0,57420,28100,28220,0,1,0,0,0,3552,50,0,0,0,21.9,0,9,79
3500,36,16.99,124.77,3,0,0,1,43000,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,26.01,1,675,0,2,85,6,1,878,8,619,615,0,0,0,0,0,22,4727,0,0,39,205,4,4,1,4,0,11,0,0,2,2,5,0,2,87.5,1,0,42775,3100,36675,1,2,0,1,4,569,66,2,0,1,28.3,0,2,75
