"loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","purpose","dti","delinq_2yrs","fico_range_low","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","total_acc","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","application_type","acc_now_delinq","tot_coll_amt","mths_since_rcnt_il","avg_cur_bal","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_il_tl","num_rev_accts","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bc_limit","total_il_high_credit_limit","default","open_acc_6m","open_act_il","open_il_12m","open_il_24m","open_rv_24m","max_bal_bc","all_util","inq_fi","total_cu_tl","inq_last_12m","bc_util","num_tl_120dpd_2m","emp_length","il_util"
7800,36,7.89,244.03,0,"OWN",55000,"Not Verified","credit_card",27.08,1,700,1,11,0,17,0,7968,36,704,700,0,0,0,0,0,8,4872,0,0,82,151,2,2,0,2,52,2,52,0,7,8,28,0,3,88.2,0,0,90700,29200,55500,"no",1,2,2,2,5,5410,30,1,0,4,27.3,0,10,83
10000,36,7.49,311.02,0,"MORTGAGE",60000,"Source Verified","debt_consolidation",12.33,0,695,1,74,0,7,0,3707,14,694,690,0,74,0,0,0,121,39443,0,0,129,194,4,4,1,4,74,0,74,3,2,3,9,0,1,81.8,0,0,285610,6500,41664,"no",1,2,0,0,1,3584,93,0,0,2,57,0,7,111
14800,36,12.59,495.76,1,"RENT",38000,"Source Verified","debt_consolidation",32.39,0,670,1,0,0,17,0,14418,26,734,730,1,0,0,0,133,8,2639,0,0,78,92,4,4,0,8,0,4,0,0,3,9,17,0,3,100,0,0,72909,18600,34909,"no",1,6,1,3,3,3886,62,1,0,6,33.8,0,9,87
35000,36,12.59,1172.39,1,"MORTGAGE",120000,"Source Verified","credit_card",27.55,0,690,2,45,0,9,0,42180,23,659,655,0,45,0,0,0,8,21299,0,0,210,207,18,8,3,18,0,3,0,1,5,11,8,0,1,95.7,0,0,286553,48600,74033,"no",0,3,1,1,1,14963,65,1,0,6,86.8,0,1,51
35000,36,7.91,1095.33,0,"MORTGAGE",105000,"Source Verified","credit_card",19.39,0,755,1,0,0,11,0,37590,21,719,715,0,0,0,0,0,28,5747,0,0,138,182,1,1,3,10,0,1,0,0,4,6,12,0,2,100,0,0,119960,76500,34960,"no",1,1,0,0,2,21973,48,0,3,1,47.6,0,10,57
5500,36,9.17,175.34,2,"MORTGAGE",32000,"Source Verified","debt_consolidation",12.68,0,735,1,0,0,6,0,3437,16,794,790,0,0,0,0,0,60,28506,0,0,153,208,8,8,2,8,0,2,0,0,1,10,4,0,2,100,0,0,192731,4300,77657,"no",0,3,0,0,2,3437,77,0,0,2,79.9,0,7,76
11100,36,13.67,377.6,1,"RENT",65000,"Source Verified","debt_consolidation",4.39,0,660,1,25,0,4,0,3544,8,694,690,0,27,0,0,0,201,1860,0,0,201,152,40,40,0,40,25,3,25,1,3,2,6,0,0,75,0,0,6376,3800,2576,"no",0,1,0,0,0,2236,117,0,0,1,93.3,0,6,151
4000,36,13.67,136.08,1,"MORTGAGE",47000,"Verified","medical",30.44,0,680,0,72,51,21,2,10127,42,659,655,0,72,0,0,4174,12,2552,0,0,128,203,7,7,2,15,72,4,72,2,3,6,34,0,6,94.9,2,0,59431,7300,39831,"no",0,2,1,2,8,3221,69,3,0,2,91.5,0,10,77
8075,36,13.67,274.7,1,"MORTGAGE",71000,"Verified","debt_consolidation",29.55,2,680,0,9,0,10,0,32653,20,724,720,0,9,0,0,0,3,42388,0,0,161,242,45,3,1,47,0,3,0,2,5,6,13,2,1,90,0,0,537677,33200,61516,"no",1,3,1,1,0,11908,88,2,0,4,98.4,0,1,84
10850,36,9.76,348.88,2,"RENT",71500,"Not Verified","credit_card",9.21,0,670,0,0,0,10,0,24103,12,729,725,0,0,0,0,0,40,6711,0,0,100,119,12,12,0,12,0,15,0,0,4,3,9,0,1,100,0,0,70808,20000,36508,"no",0,2,0,0,1,7087,85,0,1,0,92.1,0,0,99
3600,36,15.41,125.52,3,"RENT",30000,"Source Verified","small_business",12.04,1,700,1,19,0,9,0,1685,20,684,680,0,19,0,0,695,34,1749,0,0,128,133,2,2,0,2,0,1,0,3,6,13,7,1,3,85,0,0,32787,16500,16287,"no",1,3,0,0,5,720,48,3,0,3,10.2,0,10,86
